idx,id,type,name,uri
1,eml://ecoinformatics.org/eml-2.0.0,METADATA,"Ecological Metadata Language, version 2.0.0",http://schema.geolink.org/dev/voc/dataone/format#001
2,eml://ecoinformatics.org/eml-2.0.1,METADATA,"Ecological Metadata Language, version 2.0.1",http://schema.geolink.org/dev/voc/dataone/format#002
3,eml://ecoinformatics.org/eml-2.1.0,METADATA,"Ecological Metadata Language, version 2.1.0",http://schema.geolink.org/dev/voc/dataone/format#003
4,eml://ecoinformatics.org/eml-2.1.1,METADATA,"Ecological Metadata Language, version 2.1.1",http://schema.geolink.org/dev/voc/dataone/format#004
5,http://www.esri.com/metadata/esriprof80.dtd,METADATA,"ESRI Profile of the Content Standard for Digital Geospatial Metadata, March 2003",http://schema.geolink.org/dev/voc/dataone/format#005
6,FGDC-STD-001.1-1999,METADATA,"Content Standard for Digital Geospatial Metadata, Biological Data Profile, version 001.1-1999",http://schema.geolink.org/dev/voc/dataone/format#006
7,FGDC-STD-001.2-1999,METADATA,"Content Standard for Digital Geospatial Metadata, Metadata Profile for Shoreline Data, version 001.2-1999",http://schema.geolink.org/dev/voc/dataone/format#007
8,FGDC-STD-001-1998,METADATA,"Content Standard for Digital Geospatial Metadata, version 001-1998",http://schema.geolink.org/dev/voc/dataone/format#008
9,INCITS-453-2009,METADATA,North American Profile of ISO 19115: 2003 Geographic Information - Metadata,http://schema.geolink.org/dev/voc/dataone/format#009
10,http://www.unidata.ucar.edu/namespaces/netcdf/ncml-2.2,METADATA,"NetCDF Markup Language, version 2.2",http://schema.geolink.org/dev/voc/dataone/format#010
11,CF-1.0,DATA,"NetCDF Climate and Forecast Metadata Convention, version 1.0",http://schema.geolink.org/dev/voc/dataone/format#011
12,CF-1.1,DATA,"NetCDF Climate and Forecast Metadata Convention, version 1.1",http://schema.geolink.org/dev/voc/dataone/format#012
13,CF-1.2,DATA,"NetCDF Climate and Forecast Metadata Convention, version 1.2",http://schema.geolink.org/dev/voc/dataone/format#013
14,CF-1.3,DATA,"NetCDF Climate and Forecast Metadata Convention, version 1.3",http://schema.geolink.org/dev/voc/dataone/format#014
15,CF-1.4,DATA,"NetCDF Climate and Forecast Metadata Convention, version 1.4",http://schema.geolink.org/dev/voc/dataone/format#015
16,http://www.cuahsi.org/waterML/1.0/,METADATA,"Water Markup Language, version 1.0",http://schema.geolink.org/dev/voc/dataone/format#016
17,http://www.cuahsi.org/waterML/1.1/,METADATA,"Water Markup Language, version 1.0",http://schema.geolink.org/dev/voc/dataone/format#017
18,http://www.loc.gov/METS/,METADATA,"Metadata Encoding and Transmission Standard, version 1",http://schema.geolink.org/dev/voc/dataone/format#018
19,netCDF-3,DATA,"Network Common Data Format, version 3",http://schema.geolink.org/dev/voc/dataone/format#019
20,netCDF-4,DATA,"Network Common Data Format, version 4",http://schema.geolink.org/dev/voc/dataone/format#020
21,text/plain,DATA,Plain Text,http://schema.geolink.org/dev/voc/dataone/format#021
22,text/csv,DATA,Comma Separated Values Text,http://schema.geolink.org/dev/voc/dataone/format#022
23,image/bmp,DATA,Bitmap Image File,http://schema.geolink.org/dev/voc/dataone/format#023
24,image/gif,DATA,Graphics Interchange Format,http://schema.geolink.org/dev/voc/dataone/format#024
25,image/jp2,DATA,JPEG 2000,http://schema.geolink.org/dev/voc/dataone/format#025
26,image/jpeg,DATA,JPEG,http://schema.geolink.org/dev/voc/dataone/format#026
27,image/png,DATA,Portable Network Graphics,http://schema.geolink.org/dev/voc/dataone/format#027
28,image/svg xml,DATA,Scalable Vector Graphics,http://schema.geolink.org/dev/voc/dataone/format#028
29,image/tiff,DATA,Tagged Image File Format,http://schema.geolink.org/dev/voc/dataone/format#029
30,http://rs.tdwg.org/dwc/xsd/simpledarwincore/,METADATA,Simple Darwin Core,http://schema.geolink.org/dev/voc/dataone/format#030
31,http://digir.net/schema/conceptual/darwin/2003/1.0/darwin2.xsd,METADATA,"Darwin Core, version 2.0",http://schema.geolink.org/dev/voc/dataone/format#031
32,application/octet-stream,DATA,Octet Stream,http://schema.geolink.org/dev/voc/dataone/format#032
33,http://www.w3.org/2005/Atom,DATA,ATOM-1.0,http://schema.geolink.org/dev/voc/dataone/format#033
34,text/n3,DATA,N3,http://schema.geolink.org/dev/voc/dataone/format#034
35,text/turtle,DATA,TURTLE,http://schema.geolink.org/dev/voc/dataone/format#035
36,application/rdf xml,DATA,Resource Description Framework,http://schema.geolink.org/dev/voc/dataone/format#036
37,http://www.w3.org/TR/rdf-testcases/#ntriples,DATA,N-TRIPLE,http://schema.geolink.org/dev/voc/dataone/format#037
38,http://www.w3.org/TR/rdf-syntax-grammar,DATA,RDF/XML,http://schema.geolink.org/dev/voc/dataone/format#038
39,http://www.w3.org/TR/rdfa-syntax,DATA,RDFa,http://schema.geolink.org/dev/voc/dataone/format#039
40,http://www.openarchives.org/ore/terms,RESOURCE,Object Reuse and Exchange Vocabulary,http://schema.geolink.org/dev/voc/dataone/format#040
41,application/pdf,DATA,Portable Document Format,http://schema.geolink.org/dev/voc/dataone/format#041
42,http://datadryad.org/profile/v3.1,METADATA,Dryad Metadata Application Profile Version 3.1,http://schema.geolink.org/dev/voc/dataone/format#042
43,http://purl.org/dryad/terms/,METADATA,Dryad Metadata Application Profile Version 3.0,http://schema.geolink.org/dev/voc/dataone/format#043
44,application/vnd.ms-excel,DATA,Microsoft Excel file format,http://schema.geolink.org/dev/voc/dataone/format#044
45,application/msword,DATA,Microsoft Word file format,http://schema.geolink.org/dev/voc/dataone/format#045
46,anvl/erc-v02,DATA,"Kernel Metadata and Electronic Resource Citations (ERCs), 2010.05.13",http://schema.geolink.org/dev/voc/dataone/format#046
47,nexus/1997,DATA,NEXUS File Format for Systematic Information,http://schema.geolink.org/dev/voc/dataone/format#047
48,application/zip,DATA,Zip file format,http://schema.geolink.org/dev/voc/dataone/format#048
49,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,DATA,Microsoft Excel OpenXML,http://schema.geolink.org/dev/voc/dataone/format#049
50,application/vnd.openxmlformats-officedocument.wordprocessingml.document,DATA,Microsoft Word OpenXML,http://schema.geolink.org/dev/voc/dataone/format#050
51,application/x-fasta,DATA,FASTA sequence file,http://schema.geolink.org/dev/voc/dataone/format#051
52,text/xml,DATA,Extensible Markup Language,http://schema.geolink.org/dev/voc/dataone/format#052
53,application/xml,DATA,Extensible Markup Language Application,http://schema.geolink.org/dev/voc/dataone/format#053
54,application/rtf,DATA,Rich Text Format,http://schema.geolink.org/dev/voc/dataone/format#054
55,text/html,DATA,Hypertext Markup Language,http://schema.geolink.org/dev/voc/dataone/format#055
56,application/postscript,DATA,Postscript,http://schema.geolink.org/dev/voc/dataone/format#056
57,audio/x-wav,DATA,Wave Audio Format,http://schema.geolink.org/dev/voc/dataone/format#057
58,application/mathematica,DATA,Mathematica Notebook,http://schema.geolink.org/dev/voc/dataone/format#058
59,video/quicktime,DATA,Quicktime Video,http://schema.geolink.org/dev/voc/dataone/format#059
