"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Abbott","Seamount",,,,,,,,"POINT (174.3 31.8)",
"Abraham","Canyon",,,,,,,,"POINT (172.333333 52.616667)",
"Abrolhos","Shelf","SCUFN-22","Brazilian Navy Hydrographic Center of the Brazilian Hydrographic Office (DHN)","2009","Portuguese explorers (16th century)",,"Named from the Abrolhos Archipelago which is located inside this shelf. The specific term""abrolhos,""which means""open eyes; to stare,""was used by the ancient Portuguese navigators when arriving in this shallow area and with many coral reefs. ","Changed from ""bank"" to ""shelf"" by SCUFN22 (2009), in accordance with how this feature is referred to by the Brazilian scientific community.","POINT (-38.6966666666667 -18.52)",
"Abrolhos","Ridge",,,,,,,"Shown as Abrolhos Seamounts in ACUF Gazetteer.","POINT (-37 -18)",
"Abubacer","Ridge",,,,,,,,"POINT (-1.65 36.8)",
"Aby","Canyon","SCUFN-14",,,,,"Named after the nearby Aby Lagoon.",,"LINESTRING (-3.883333 3.9, -3.433333 4.6)",
"Acapulco","Seamounts","SCUFN-22","Walter Reynoso-Peralta, GEBCO/Nippon Foundation Training Program Alumni, Servicio de Hidrografía Naval, Av. Montes de Oca 2124, (1271) Ciudad Autónoma de Buenos Aires, República Argentina","2009","U.S. R/V Thomas Washington (SIO, UCSD)","1988","Named from the nearby Mexican city of Acapulco.","This feature consists in a group of 3 aligned seamounts located in international waters. 
Minimum depth: 650 m (smt 1); 1150 m (smt 2); 850 m (smt 3); Maximum Depth: 2350 m (smt 1); 2250 m (smt 2); 2350 m (smt 3); 
Total relief: 1700 m (smt 1); 1100 m (smt 2); 1500 m (smt 3); 
Surrounding depths: Between 3500 and 4000 m","POLYGON ((-119.83849955233 13.258163045247, -119.63250589999 13.400985310872, -119.59680033358 13.475143025716, -119.6077866617 13.519088338216, -119.58856058749 13.582259724935, -119.64898539217 13.623458455403, -119.7396225992 13.68113667806, -119.8275132242 13.708602498372, -119.94836283358 13.68113667806, -120.20104838045 13.788253377278, -120.25598002108 13.832198689778, -120.34112406405 13.845931599935, -120.42626810702 13.826705525716, -120.49767923983 13.755294392903, -120.6185288492 13.862411092122, -120.73937845858 13.903609822591, -120.82452250155 13.845931599935, -120.8822007242 13.758040974935, -120.78057718905 13.604232381185, -120.73388529452 13.604232381185, -120.66796732577 13.59324605306, -120.522398478106 13.6646571858718, -120.43725443514 13.532821248372, -120.38232279452 13.546554158528, -120.34936381014 13.52732808431, -120.07470560702 13.43943745931, -120.03076029452 13.384505818685, -119.98681498202 13.30760152181, -119.95660257967 13.258163045247, -119.88519144686 13.269149373372, -119.83849955233 13.258163045247))",
"Aceste","Seamount",,,,,,,,"POINT (11.516667 38.416667)",
"Aconcagua","Canyon","SCUFN-16","Chilean Hydrographic Office (SHOA)",,,,"Named after the Aconcagua River.",,"LINESTRING (-71.916667 -32.616667, -71.733333 -32.7)",
"Açor","Bank","SCUFN-14","André Roubertou, French Hydrographic Office (SHOM)",,,,"Name of the Portuguese Navy's gunboat sent to confirm the existence of Princesse Alice Bank (Prince Albert of Monaco's ship). See Laughton A.S. et al., 1975.",,"POINT (-29.133333 38.2)",
